Longitude,Latitude,AsuLevel_1,RSSI_1,AsuLevel_2,RSSI_2,AsuLevel_3,RSSI_3,AsuLevel_4,RSSI_4,AsuLevel_5,RSSI_5,AsuLevel_6,RSSI_6,AsuLevel_7,RSSI_7,MRTime,IMSI,Position,latitude_1,longitude_1,latitude_2,longitude_2,latitude_3,longitude_3,latitude_4,longitude_4,latitude_5,longitude_5,latitude_6,longitude_6,latitude_7,longitude_7
121.2109899,31.28225603,22,-69,14,-85,12.0,-89.0,13.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,1509264799839.0,460011670515939.06,16,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,0.0,0.0,0.0,0.0
121.2109899,31.28225603,23,-67,14,-85,13.0,-87.0,15.0,-83.0,12.0,-89.0,13.0,-87.0,14.0,-85.0,1509264800910.0,460011670515939.06,16,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.289351,121.219323,0.0,0.0
121.2111017,31.28219829,23,-67,14,-85,13.0,-87.0,15.0,-83.0,12.0,-89.0,13.0,-87.0,14.0,-85.0,1509264801977.0,460011670515939.06,7,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.289351,121.219323,0.0,0.0
121.2111017,31.28219829,22,-69,14,-85,13.0,-87.0,15.0,-83.0,12.0,-89.0,12.0,-89.0,14.0,-85.0,1509264803067.0,460011670515939.06,7,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.289351,121.219323,31.276588,121.211975
121.21120590000001,31.28215189,22,-69,14,-85,13.0,-87.0,15.0,-83.0,12.0,-89.0,12.0,-89.0,14.0,-85.0,1509264804132.0,460011670515939.06,0,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.289351,121.219323,31.276588,121.211975
121.21120590000001,31.28215189,23,-67,14,-85,13.0,-87.0,16.0,-81.0,12.0,-89.0,15.0,-83.0,0.0,0.0,1509264805207.0,460011670515939.06,0,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.276588,121.211975,0.0,0.0
121.211378,31.28206276,23,-67,14,-85,13.0,-87.0,16.0,-81.0,12.0,-89.0,15.0,-83.0,0.0,0.0,1509264806293.0,460011670515939.06,-13,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.276588,121.211975,0.0,0.0
121.211378,31.28206276,23,-67,14,-85,13.0,-87.0,16.0,-81.0,13.0,-87.0,15.0,-83.0,0.0,0.0,1509264807354.0,460011670515939.06,-13,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.276588,121.211975,0.0,0.0
121.21142179999998,31.28204361,23,-67,14,-85,13.0,-87.0,16.0,-81.0,13.0,-87.0,15.0,-83.0,0.0,0.0,1509264808425.0,460011670515939.06,-16,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,0.0,0.0,31.276588,121.211975,0.0,0.0
121.21142179999998,31.28204361,23,-67,13,-87,14.0,-85.0,16.0,-81.0,16.0,-81.0,13.0,-87.0,0.0,0.0,1509264809514.0,460011670515939.06,-16,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,31.276588,121.211975,0.0,0.0,0.0,0.0
121.21156709999998,31.282000899999996,23,-67,13,-87,14.0,-85.0,16.0,-81.0,16.0,-81.0,13.0,-87.0,0.0,0.0,1509264810577.0,460011670515939.06,-23,31.289647,121.208284,31.288649,121.211928,0.0,0.0,31.289402000000003,121.208105,31.276588,121.211975,0.0,0.0,0.0,0.0
