i,i_agg_user_max,i_agg_user_max_median,i_agg_user_max_mean,i_agg_user_max_std
11303165,1,1,0.67,0.47
11303178,1,1,0.67,0.47
11303183,1,0,0.33,0.47
11303187,1,1,0.67,0.47
11303190,1,0,0.33,0.47
11303205,1,0,0.33,0.47
11304005,2,0,0.67,0.94
11304006,1,0,0.33,0.47
11304008,1,0,0.33,0.47
11304020,1,0,0.33,0.47
11304021,1,0,0.33,0.47
11304032,1,0,0.33,0.47
11304041,1,0,0.33,0.47
11304052,1,0,0.33,0.47
11305000,1,0,0.33,0.47
11305009,1,0,0.33,0.47
11305010,1,0,0.33,0.47
11311002,1,0,0.33,0.47
11312009,1,0,0.33,0.47
11400015,1,0,0.33,0.47
11400019,1,0,0.33,0.47
11400023,1,0,0.33,0.47
11400038,1,0,0.33,0.47
11400039,1,0,0.33,0.47
11400044,1,0,0.33,0.47
11400046,1,0,0.33,0.47
11400051,1,0,0.33,0.47
11413008,1,0,0.33,0.47
11500027,2,0,0.67,0.94
11500028,1,0,0.33,0.47
11500029,1,0,0.33,0.47
11500042,1,0,0.33,0.47
11500066,2,0,0.67,0.94
11500067,1,0,0.33,0.47
11500072,1,0,0.33,0.47
11500074,1,0,0.33,0.47
11500076,1,0,0.33,0.47
11500080,2,0,0.67,0.94
11500087,1,1,0.67,0.47
11500091,1,0,0.33,0.47
11500092,1,0,0.33,0.47
11500094,2,0,0.67,0.94
11500095,1,0,0.33,0.47
11500102,1,0,0.33,0.47
11500112,1,1,0.67,0.47
11500118,1,0,0.33,0.47
11500121,1,0,0.33,0.47
11500128,1,0,0.33,0.47
11500131,1,0,0.33,0.47
11500133,1,0,0.33,0.47
11500134,1,0,0.33,0.47
11500137,1,1,1.0,0.0
11500138,1,0,0.33,0.47
11500140,1,0,0.33,0.47
11501009,1,0,0.33,0.47
11501020,2,1,1.0,0.82
11501026,1,0,0.33,0.47
11501028,1,0,0.33,0.47
11501031,1,0,0.33,0.47
11501032,1,0,0.33,0.47
11501048,1,1,0.67,0.47
11501053,1,0,0.33,0.47
11501058,1,0,0.33,0.47
11501061,1,0,0.33,0.47
11501064,1,0,0.33,0.47
11501069,1,0,0.33,0.47
11501070,1,1,0.67,0.47
11501077,1,0,0.33,0.47
11501090,1,0,0.33,0.47
11501091,2,0,0.67,0.94
11501092,1,0,0.33,0.47
11501099,1,0,0.33,0.47
11501105,1,0,0.33,0.47
11501113,1,0,0.33,0.47
11501118,1,0,0.33,0.47
11501122,1,0,0.33,0.47
11502005,1,0,0.33,0.47
11502010,1,0,0.33,0.47
11502014,1,1,0.67,0.47
11502019,1,0,0.33,0.47
11502022,2,0,0.67,0.94
11502024,1,0,0.33,0.47
11502025,1,1,0.67,0.47
11502035,1,1,0.67,0.47
11502038,1,0,0.33,0.47
11502049,1,0,0.33,0.47
11504011,2,1,1.0,0.82
11504022,1,0,0.33,0.47
11504025,1,0,0.33,0.47
11504034,2,0,0.67,0.94
11507002,1,0,0.33,0.47
11507004,1,0,0.33,0.47
11508001,1,0,0.33,0.47
11508002,1,1,0.67,0.47
11511004,1,0,0.33,0.47
11511051,1,1,0.67,0.47
11511086,1,0,0.33,0.47
11511091,1,0,0.33,0.47
11513008,1,0,0.33,0.47
11521003,1,0,0.33,0.47
11521011,2,0,0.67,0.94
11521015,1,0,0.33,0.47
11521017,1,0,0.33,0.47
11521029,2,0,0.67,0.94
11521030,1,0,0.33,0.47
11521035,2,0,0.67,0.94
11521061,1,0,0.33,0.47
11521063,1,1,0.67,0.47
11522002,1,0,0.33,0.47
11522006,1,1,0.67,0.47
11522008,1,0,0.33,0.47
11522021,1,0,0.33,0.47
11522023,1,0,0.33,0.47
11522024,1,0,0.33,0.47
11530005,1,0,0.33,0.47
11530008,1,0,0.33,0.47
11531005,1,0,0.33,0.47
11531010,2,0,0.67,0.94
11531011,2,1,1.0,0.82
11531017,1,0,0.33,0.47
11531020,1,0,0.33,0.47
11531021,1,0,0.33,0.47
11531023,1,0,0.33,0.47
11531026,1,0,0.33,0.47
11531031,2,0,0.67,0.94
11531038,2,2,1.33,0.94
11531047,2,1,1.0,0.82
11531071,1,0,0.33,0.47
11532008,1,1,0.67,0.47
11532011,1,1,0.67,0.47
11532012,3,0,1.0,1.41
11532019,2,2,1.33,0.94
11532022,1,1,0.67,0.47
11532029,1,0,0.33,0.47
11532036,1,0,0.33,0.47
11532037,1,0,0.33,0.47
11532038,1,1,0.67,0.47
11532039,2,0,0.67,0.94
11533011,1,1,0.67,0.47
11533012,1,1,0.67,0.47
11533016,1,1,0.67,0.47
11533021,2,2,1.33,0.94
11533024,1,0,0.33,0.47
11533028,2,0,0.67,0.94
11533029,1,0,0.33,0.47
11533057,2,0,0.67,0.94
11540000,1,0,0.33,0.47
14000001,3,1,1.67,0.94
14000002,2,1,1.0,0.82
14000003,1,0,0.33,0.47
14000004,1,1,0.67,0.47
14000006,1,0,0.33,0.47
14000009,1,0,0.33,0.47
14000010,1,0,0.33,0.47
14000016,1,0,0.33,0.47
14001022,1,0,0.33,0.47
14001024,1,0,0.33,0.47
14001026,1,0,0.33,0.47
14002006,1,1,0.67,0.47
14002007,1,0,0.33,0.47
14010003,1,0,0.33,0.47
14010006,1,1,1.0,0.0
14010011,3,3,3.0,0.0
14010012,2,1,1.33,0.47
14010015,2,1,1.0,0.82
14010020,4,2,2.0,1.63
14010021,3,0,1.0,1.41
14011001,1,0,0.33,0.47
14011007,1,0,0.33,0.47
14012004,2,0,0.67,0.94
14013009,1,1,0.67,0.47
14013011,7,1,2.67,3.09
14013024,1,1,1.0,0.0
14013026,1,0,0.33,0.47
14013028,1,1,0.67,0.47
14014000,1,0,0.33,0.47
14014012,1,0,0.33,0.47
14014029,1,0,0.33,0.47
14014030,1,0,0.33,0.47
14014034,1,0,0.33,0.47
14015003,1,0,0.33,0.47
14015048,2,1,1.33,0.47
14015049,1,0,0.33,0.47
14015055,1,0,0.33,0.47
14015065,1,1,0.67,0.47
14020002,1,0,0.33,0.47
14020003,1,1,1.0,0.0
14020011,1,1,1.0,0.0
14020012,1,0,0.33,0.47
14020014,1,0,0.33,0.47
14020015,1,1,0.67,0.47
14020027,1,0,0.33,0.47
14021002,1,0,0.33,0.47
14021006,2,0,0.67,0.94
14021008,1,0,0.33,0.47
14021014,1,0,0.33,0.47
14021037,1,1,0.67,0.47
14021046,1,0,0.33,0.47
14022002,1,1,0.67,0.47
14022004,1,1,0.67,0.47
14022006,1,0,0.33,0.47
14022010,1,0,0.33,0.47
14031000,1,0,0.33,0.47
14031004,1,0,0.33,0.47
14031006,1,0,0.33,0.47
14032002,1,0,0.33,0.47
14032011,1,0,0.33,0.47
14032018,2,1,1.33,0.47
14032021,1,1,0.67,0.47
14033006,1,0,0.33,0.47
14033043,1,0,0.33,0.47
14033044,1,0,0.33,0.47
14033046,1,0,0.33,0.47
14033048,1,1,0.67,0.47
14033054,1,0,0.33,0.47
14033055,1,1,0.67,0.47
14033057,1,0,0.33,0.47
14034002,1,0,0.33,0.47
14034005,1,0,0.33,0.47
14034007,1,1,0.67,0.47
14034009,1,0,0.33,0.47
14034015,1,0,0.33,0.47
14034017,2,1,1.0,0.82
14034019,1,0,0.33,0.47
14040009,1,0,0.33,0.47
14040020,1,0,0.33,0.47
14041002,1,0,0.33,0.47
14043002,1,0,0.33,0.47
14043003,1,0,0.33,0.47
14043006,1,0,0.33,0.47
14043012,1,0,0.33,0.47
14043013,1,0,0.33,0.47
14043014,1,0,0.33,0.47
14043021,1,0,0.33,0.47
14043031,1,1,0.67,0.47
14043036,1,0,0.33,0.47
14050001,1,0,0.33,0.47
14050013,2,0,0.67,0.94
14050014,1,0,0.33,0.47
14050015,2,1,1.33,0.47
14050019,1,0,0.33,0.47
14050020,1,0,0.33,0.47
14050022,2,0,0.67,0.94
14050026,1,1,0.67,0.47
14050027,1,0,0.33,0.47
14050034,2,0,0.67,0.94
14050035,1,0,0.33,0.47
14050036,1,0,0.33,0.47
14050037,1,1,0.67,0.47
14051003,1,0,0.33,0.47
14051004,1,0,0.33,0.47
14052000,1,0,0.33,0.47
14052001,1,0,0.33,0.47
14052002,2,0,0.67,0.94
14052003,2,0,0.67,0.94
