b,b_agg_user_max,b_agg_user_max_median,b_agg_user_max_mean,b_agg_user_max_std
32196.0,1.0,0.0,0.33,0.47
32215.0,2.0,0.0,0.67,0.94
32295.0,7.0,2.0,3.33,2.62
32322.0,1.0,0.0,0.33,0.47
32381.0,1.0,0.0,0.33,0.47
32395.0,1.0,0.0,0.33,0.47
32402.0,2.0,0.0,0.67,0.94
33009.0,1.0,0.0,0.33,0.47
33033.0,2.0,0.0,0.67,0.94
33046.0,3.0,3.0,2.67,0.47
33054.0,1.0,1.0,1.0,0.0
33080.0,1.0,0.0,0.33,0.47
34001.0,2.0,1.0,1.0,0.82
34005.0,1.0,0.0,0.33,0.47
