i,i_user_agg_count_mean,i_user_agg_count_std,i_user_agg_count_max,i_user_agg_count_median,i_user_agg_amount_mean,i_user_agg_amount_std,i_user_agg_amount_max,i_user_agg_amount_median
15115031,1.5,0.5,2,2,13.8,4.6,18.4,18.4
15115035,1.5,0.5,2,2,41.4,13.8,55.2,55.2
15115036,1.0,0.0,1,1,17.0,0.0,17.0,17.0
15115037,1.0,0.0,1,1,27.6,0.0,27.6,27.6
15115043,1.33,0.47,2,1,17.8,0.0,17.8,17.8
15115046,1.0,0.0,1,1,5.8,0.0,5.8,5.8
15116001,1.0,0.0,1,1,6.3,2.1,8.4,8.4
15116002,3.25,1.64,6,3,11.18,8.58,25.0,11.7
15116003,2.2,0.98,4,2,11.68,5.26,20.0,10.0
15119000,2.0,0.0,2,2,4.6,0.0,4.6,4.6
15119001,1.65,0.79,4,2,11.77,5.91,25.2,8.4
15119005,1.0,0.0,1,1,26.5,0.0,26.5,26.5
15119009,1.33,0.47,2,1,23.73,8.39,35.6,17.8
15120000,1.12,0.33,2,1,11.56,4.5,15.0,15.0
15120003,1.0,0.0,1,1,14.9,0.0,14.9,14.9
15120004,1.0,0.0,1,1,5.0,0.0,5.0,5.0
15120005,1.0,0.0,1,1,11.0,0.0,11.0,11.0
15120006,1.0,0.0,1,1,22.0,0.0,22.0,22.0
15120007,1.0,0.0,1,1,4.0,0.0,4.0,4.0
15120008,2.0,0.0,2,2,7.2,0.0,7.2,7.2
15120015,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15121000,1.0,0.0,1,1,5.5,0.0,5.5,5.5
15121001,1.0,0.0,1,1,12.0,0.0,12.0,12.0
15121002,2.0,0.0,2,2,46.0,0.0,46.0,46.0
15130002,1.5,0.5,2,2,3.45,1.15,4.6,4.6
15130006,1.4,0.61,3,1,9.26,4.02,19.8,6.6
15130007,1.0,0.0,1,1,3.9,0.0,3.9,3.9
15130009,1.21,0.41,2,1,9.34,2.99,15.98,7.99
15130010,1.6,0.8,3,1,19.8,15.34,49.5,9.9
15130012,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15130013,1.0,0.0,1,1,9.52,0.76,9.9,9.9
15130015,1.0,0.0,1,1,6.9,0.0,6.9,6.9
15130016,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15130024,1.67,0.47,2,2,9.33,2.64,11.2,11.2
15130027,1.42,0.63,3,1,15.65,6.94,33.0,11.0
15130029,1.0,0.0,1,1,9.9,0.0,9.9,9.9
15130031,1.5,0.5,2,2,17.15,7.35,24.5,24.5
