i,i_user_all,i_user_2,i_user_3,i_user_4
14072008,1,0,0,1
14072009,1,0,0,1
14072013,1,0,0,1
14073006,1,0,0,1
14073007,1,0,1,0
14073008,1,0,1,0
14073009,2,1,0,1
14073011,2,1,1,0
14073019,1,0,1,0
14073020,2,1,1,0
14073041,4,1,0,3
14074021,2,1,0,1
14074024,1,0,0,1
14074054,1,0,1,0
14074058,1,1,0,0
14074059,2,1,1,0
14074061,1,0,0,1
14075007,1,0,0,1
14075011,1,0,0,1
14075012,2,0,1,1
14075022,2,1,1,0
14076000,1,0,0,1
14076004,1,1,0,0
14076009,10,2,5,4
14076010,1,0,1,0
14076012,10,3,3,4
14076016,1,0,0,1
14076017,1,1,0,0
14076018,1,0,1,0
14076019,4,1,0,3
14076021,1,1,0,0
14076030,1,1,0,0
14076040,1,0,1,0
14076041,1,0,0,1
14077001,1,1,0,0
14077014,1,0,0,1
14077019,1,1,0,0
14077026,1,1,0,0
14078000,2,1,0,1
14079001,1,1,0,0
14079027,1,0,1,0
14079028,1,0,1,0
14079030,2,1,1,0
14080000,1,0,0,1
14080001,1,0,0,1
14080016,2,0,2,0
14080019,3,1,1,1
14080020,4,1,1,2
14080021,3,2,1,0
14080025,1,1,0,0
14080028,1,1,0,0
14080031,2,0,1,1
14081006,2,0,1,1
14081010,1,0,1,0
14081024,1,1,0,0
14081026,2,2,0,0
14081030,2,0,0,2
14082000,1,0,0,1
14082002,1,0,0,1
14082011,1,0,0,1
14082012,1,1,0,0
14082014,1,1,0,0
14082015,1,0,0,1
14082017,3,1,1,2
14082018,5,1,2,2
14082021,1,0,1,0
14082022,4,1,2,1
14082023,2,0,0,2
14082024,3,0,2,1
14082026,2,0,0,2
14082028,3,1,1,1
14082037,2,1,1,0
14082038,1,0,1,0
14083000,1,0,1,0
14083002,2,0,1,1
14083004,3,0,2,1
14084003,2,0,2,0
14084005,1,1,0,0
14090000,2,0,2,0
14090003,1,0,1,0
14090005,2,1,1,0
14090006,1,0,1,0
14090007,2,2,0,0
14090008,1,0,1,0
14090009,3,0,2,1
14090010,1,1,0,0
14090013,1,0,1,0
14090017,1,1,0,0
14090018,5,0,4,1
